folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
8,0.026,5,0.85,0.95,0,0.436649,384
10,0.026,5,0.85,0.95,0,0.442989,381
8,0.028,5,0.85,0.95,0,0.435985,355
10,0.028,5,0.85,0.95,0,0.437989,357
8,0.03,5,0.85,0.95,0,0.445349,333
10,0.03,5,0.85,0.95,0,0.437583,333
8,0.01,6,0.85,0.95,0,0.429837,1000
10,0.01,6,0.85,0.95,0,0.42703,998
8,0.012,6,0.85,0.95,0,0.42704,833
10,0.012,6,0.85,0.95,0,0.43221,820
8,0.014,6,0.85,0.95,0,0.437636,644
10,0.014,6,0.85,0.95,0,0.429387,690
8,0.016,6,0.85,0.95,0,0.435548,625
10,0.016,6,0.85,0.95,0,0.431078,625
8,0.018,6,0.85,0.95,0,0.430282,542
10,0.018,6,0.85,0.95,0,0.430935,512
8,0.02,6,0.85,0.95,0,0.43396,499
10,0.02,6,0.85,0.95,0,0.4357,497
8,0.022,6,0.85,0.95,0,0.430691,448
10,0.022,6,0.85,0.95,0,0.430537,454
8,0.024,6,0.85,0.95,0,0.433333,415
10,0.024,6,0.85,0.95,0,0.43044,410
8,0.026,6,0.85,0.95,0,0.432305,342
10,0.026,6,0.85,0.95,0,0.428289,384
8,0.028,6,0.85,0.95,0,0.431435,349
10,0.028,6,0.85,0.95,0,0.428993,348
8,0.03,6,0.85,0.95,0,0.430099,328
10,0.03,6,0.85,0.95,0,0.432178,322
8,0.01,7,0.85,0.95,0,0.428813,703
10,0.01,7,0.85,0.95,0,0.43167,760
8,0.012,7,0.85,0.95,0,0.43228,550
10,0.012,7,0.85,0.95,0,0.437149,563
8,0.014,7,0.85,0.95,0,0.430397,545
10,0.014,7,0.85,0.95,0,0.430202,461
8,0.016,7,0.85,0.95,0,0.430326,457
10,0.016,7,0.85,0.95,0,0.428179,437
8,0.018,7,0.85,0.95,0,0.433408,385
10,0.018,7,0.85,0.95,0,0.431436,432
8,0.02,7,0.85,0.95,0,0.43251,382
10,0.02,7,0.85,0.95,0,0.427212,452
8,0.022,7,0.85,0.95,0,0.42642,323
10,0.022,7,0.85,0.95,0,0.431752,355
8,0.024,7,0.85,0.95,0,0.433688,344
10,0.024,7,0.85,0.95,0,0.430224,284
8,0.026,7,0.85,0.95,0,0.428487,285
10,0.026,7,0.85,0.95,0,0.433494,295
8,0.028,7,0.85,0.95,0,0.440447,266
10,0.028,7,0.85,0.95,0,0.433419,326
8,0.03,7,0.85,0.95,0,0.434196,215
10,0.03,7,0.85,0.95,0,0.430399,286
8,0.01,4,0.8,0.95,0,0.446757,999
10,0.01,4,0.8,0.95,0,0.449174,1000
8,0.012,4,0.8,0.95,0,0.44842,832
10,0.012,4,0.8,0.95,0,0.449275,833
8,0.014,4,0.8,0.95,0,0.453526,711
10,0.014,4,0.8,0.95,0,0.447123,714
8,0.016,4,0.8,0.95,0,0.450381,625
10,0.016,4,0.8,0.95,0,0.448309,625
8,0.018,4,0.8,0.95,0,0.447289,556
10,0.018,4,0.8,0.95,0,0.453195,556
8,0.02,4,0.8,0.95,0,0.449439,499
10,0.02,4,0.8,0.95,0,0.451039,500
8,0.022,4,0.8,0.95,0,0.449879,455
10,0.022,4,0.8,0.95,0,0.450861,455
8,0.024,4,0.8,0.95,0,0.450157,417
10,0.024,4,0.8,0.95,0,0.451459,416
8,0.026,4,0.8,0.95,0,0.449012,385
10,0.026,4,0.8,0.95,0,0.450776,385
